Member_number,Recency,Frequency,Monetary,Cluster
KH1685,134,8,26.7,Big Spenders
KH1686,594,7,45.3,One-time Shoppers
KH1687,439,11,85.3,Churned Customers
KH1688,50,2,10.1,Potential Loyalists
KH1689,386,5,54.8,Churned Customers
KH1690,131,16,125.8,Big Spenders
KH1692,185,15,121.65,Big Spenders
KH1693,3,12,71.9,Potential Loyalists
KH1694,455,6,37.8,Churned Customers
KH1695,329,2,20.6,Churned Customers
KH1696,87,13,81.95,Potential Loyalists
KH1697,43,15,78.66,Potential Loyalists
KH1698,161,9,55.04,Big Spenders
KH1699,96,10,98.4,Potential Loyalists
KH1700,61,4,18.64,Potential Loyalists
KH1701,227,2,37.9,Big Spenders
KH1702,350,13,75.9,Churned Customers
KH1703,312,14,125.6,Churned Customers
KH1705,79,8,50.85,Potential Loyalists
KH1706,138,14,155.0,Loyal Customers
KH1707,204,4,24.5,Big Spenders
KH1708,2,16,159.4,Loyal Customers
KH1709,252,4,34.4,Big Spenders
KH1710,25,6,100.0,Potential Loyalists
KH1711,38,19,163.66,Loyal Customers
KH1712,487,5,79.1,One-time Shoppers
KH1714,150,5,44.4,Big Spenders
KH1715,179,17,284.89,Loyal Customers
KH1716,501,8,101.2,One-time Shoppers
KH1717,51,8,55.3,Potential Loyalists
KH1718,291,7,62.95,Churned Customers
KH1719,104,13,85.84,Potential Loyalists
KH1720,25,7,39.04,Potential Loyalists
KH1721,76,6,11.8,Potential Loyalists
KH1722,125,14,69.25,Big Spenders
KH1723,22,10,87.34,Potential Loyalists
KH1724,112,11,107.0,Potential Loyalists
KH1725,429,6,82.35,Churned Customers
KH1726,4,13,132.1,Loyal Customers
KH1727,165,6,32.4,Big Spenders
KH1728,137,7,41.1,Big Spenders
KH1729,15,15,174.7,Loyal Customers
KH1730,5,8,43.0,Potential Loyalists
KH1731,40,12,97.2,Potential Loyalists
KH1732,215,7,50.0,Big Spenders
KH1733,190,17,133.6,Big Spenders
KH1734,170,17,181.0,Big Spenders
KH1735,511,5,104.0,One-time Shoppers
KH1736,123,12,83.0,Potential Loyalists
KH1737,116,21,156.95,Loyal Customers
KH1738,455,8,40.85,Churned Customers
KH1739,213,4,55.9,Big Spenders
KH1740,404,16,125.8,Churned Customers
KH1741,10,13,117.6,Potential Loyalists
KH1742,18,9,111.7,Potential Loyalists
KH1743,47,14,86.6,Potential Loyalists
KH1744,93,4,7.65,Potential Loyalists
KH1745,648,2,14.4,One-time Shoppers
KH1746,77,10,49.5,Potential Loyalists
KH1747,378,11,67.2,Churned Customers
KH1748,297,19,85.8,Churned Customers
KH1749,360,8,87.34,Churned Customers
KH1750,325,12,112.96,Churned Customers
KH1751,280,10,58.9,Churned Customers
KH1752,255,10,48.6,Big Spenders
KH1753,131,17,124.5,Big Spenders
KH1754,104,14,108.8,Potential Loyalists
KH1755,574,4,16.9,One-time Shoppers
KH1756,98,9,72.6,Potential Loyalists
KH1757,7,15,108.0,Potential Loyalists
KH1758,307,14,127.84,Churned Customers
KH1759,95,12,127.8,Loyal Customers
KH1760,341,8,50.8,Churned Customers
KH1761,89,18,228.22,Loyal Customers
KH1762,182,4,11.0,Big Spenders
KH1763,3,7,57.45,Potential Loyalists
KH1764,45,11,58.6,Potential Loyalists
KH1765,294,8,112.8,Churned Customers
KH1766,343,5,79.75,Churned Customers
KH1767,67,12,102.36,Potential Loyalists
KH1768,117,20,125.01,Loyal Customers
KH1769,0,5,26.8,Potential Loyalists
KH1770,41,10,45.52,Potential Loyalists
KH1771,282,6,34.0,Churned Customers
KH1772,58,8,57.5,Potential Loyalists
KH1773,59,9,71.1,Potential Loyalists
KH1774,145,12,62.65,Big Spenders
KH1775,80,2,41.4,Potential Loyalists
KH1776,259,14,109.3,Big Spenders
KH1777,27,20,185.9,Loyal Customers
KH1778,373,6,85.3,Churned Customers
KH1779,63,9,101.1,Potential Loyalists
KH1780,78,21,119.05,Potential Loyalists
KH1781,207,6,65.46,Big Spenders
KH1782,81,13,164.2,Loyal Customers
KH1783,176,18,126.24,Big Spenders
KH1784,95,7,66.7,Potential Loyalists
KH1785,9,20,196.3,Loyal Customers
KH1786,323,6,24.3,Churned Customers
KH1787,60,13,232.7,Loyal Customers
KH1788,10,16,105.55,Potential Loyalists
KH1789,69,10,100.4,Potential Loyalists
KH1790,276,4,22.7,Churned Customers
KH1791,454,8,59.4,Churned Customers
KH1792,137,13,182.84,Loyal Customers
KH1793,26,25,345.1,Loyal Customers
KH1794,104,5,26.3,Potential Loyalists
KH1795,271,4,65.75,Big Spenders
KH1796,57,14,86.4,Potential Loyalists
KH1797,411,11,92.09,Churned Customers
KH1798,363,17,135.2,Churned Customers
KH1799,94,9,46.82,Potential Loyalists
KH1800,152,12,81.4,Big Spenders
KH1801,201,11,47.3,Big Spenders
KH1803,232,9,53.9,Big Spenders
KH1804,30,9,81.9,Potential Loyalists
KH1805,204,7,42.3,Big Spenders
KH1806,177,11,109.22,Big Spenders
KH1807,12,6,85.7,Potential Loyalists
KH1808,162,10,109.8,Big Spenders
KH1809,429,6,38.4,Churned Customers
KH1810,443,12,107.2,Churned Customers
KH1811,98,18,145.3,Loyal Customers
KH1812,77,4,49.8,Potential Loyalists
KH1813,394,3,50.9,Churned Customers
KH1814,40,12,97.4,Potential Loyalists
KH1815,122,11,67.3,Potential Loyalists
KH1816,496,10,88.11,One-time Shoppers
KH1817,131,12,133.2,Loyal Customers
KH1818,111,10,48.6,Potential Loyalists
KH1819,12,17,206.9,Loyal Customers
KH1820,267,10,85.4,Big Spenders
KH1821,223,8,140.2,Big Spenders
KH1822,302,13,68.9,Churned Customers
KH1823,33,11,120.9,Potential Loyalists
KH1824,59,9,70.4,Potential Loyalists
KH1825,39,13,104.9,Potential Loyalists
KH1826,376,2,11.7,Churned Customers
KH1827,182,23,158.6,Big Spenders
KH1828,281,9,38.25,Churned Customers
KH1829,194,9,74.2,Big Spenders
KH1830,348,4,36.5,Churned Customers
KH1831,355,7,67.15,Churned Customers
KH1832,43,16,154.75,Loyal Customers
KH1833,159,10,80.8,Big Spenders
KH1834,38,7,72.16,Potential Loyalists
KH1835,191,10,106.64,Big Spenders
KH1836,113,6,95.0,Potential Loyalists
KH1837,174,12,87.75,Big Spenders
KH1838,280,10,91.9,Churned Customers
KH1839,82,11,142.2,Loyal Customers
KH1840,367,5,40.9,Churned Customers
KH1841,234,4,28.6,Big Spenders
KH1842,310,6,45.8,Churned Customers
KH1843,24,9,56.65,Potential Loyalists
KH1844,47,15,109.72,Potential Loyalists
KH1845,145,7,20.0,Big Spenders
KH1846,31,12,62.5,Potential Loyalists
KH1847,257,9,60.05,Big Spenders
KH1848,177,8,47.25,Big Spenders
KH1849,188,8,61.42,Big Spenders
KH1850,294,8,99.2,Churned Customers
KH1851,172,10,82.0,Big Spenders
KH1852,478,10,56.32,One-time Shoppers
KH1853,213,9,126.1,Big Spenders
KH1854,157,6,38.7,Big Spenders
KH1855,51,13,160.65,Loyal Customers
KH1856,65,8,95.9,Potential Loyalists
KH1857,111,5,80.7,Potential Loyalists
KH1858,249,5,38.7,Big Spenders
KH1859,216,11,161.4,Big Spenders
KH1860,522,4,14.7,One-time Shoppers
KH1861,140,5,32.9,Big Spenders
KH1862,116,15,225.65,Loyal Customers
KH1863,148,14,110.6,Big Spenders
KH1864,94,8,61.6,Potential Loyalists
KH1865,27,14,146.6,Loyal Customers
KH1866,52,18,244.5,Loyal Customers
KH1867,276,11,67.7,Churned Customers
KH1868,424,7,68.5,Churned Customers
KH1869,228,11,51.0,Big Spenders
KH1870,112,25,257.54,Loyal Customers
KH1871,381,2,21.9,Churned Customers
KH1872,128,10,47.7,Big Spenders
KH1873,102,6,45.3,Potential Loyalists
KH1874,154,9,35.9,Big Spenders
KH1875,154,5,69.9,Big Spenders
KH1876,197,2,25.3,Big Spenders
KH1877,456,11,43.22,One-time Shoppers
KH1878,33,21,127.61,Loyal Customers
KH1879,417,8,34.4,Churned Customers
KH1880,106,4,18.8,Potential Loyalists
KH1881,76,11,51.05,Potential Loyalists
KH1882,96,6,97.4,Potential Loyalists
KH1883,55,10,66.7,Potential Loyalists
KH1884,19,12,105.05,Potential Loyalists
KH1885,5,11,78.5,Potential Loyalists
KH1886,28,4,22.56,Potential Loyalists
KH1887,51,22,185.8,Loyal Customers
KH1888,207,14,183.1,Big Spenders
KH1889,124,18,240.15,Loyal Customers
KH1890,217,8,197.2,Big Spenders
KH1891,543,6,22.8,One-time Shoppers
KH1892,40,15,109.12,Potential Loyalists
KH1893,270,8,92.3,Big Spenders
KH1894,88,14,141.2,Loyal Customers
KH1895,402,13,118.38,Churned Customers
KH1896,379,12,111.3,Churned Customers
KH1897,339,8,47.4,Churned Customers
KH1898,414,2,12.8,Churned Customers
KH1899,67,12,93.64,Potential Loyalists
KH1900,97,10,74.44,Potential Loyalists
KH1901,31,12,99.2,Potential Loyalists
KH1902,29,7,59.22,Potential Loyalists
KH1903,295,10,62.45,Churned Customers
KH1904,256,6,61.2,Big Spenders
KH1905,73,26,253.51,Loyal Customers
KH1907,164,5,51.2,Big Spenders
KH1908,157,20,180.64,Loyal Customers
KH1909,121,7,44.8,Potential Loyalists
KH1910,61,10,85.6,Potential Loyalists
KH1911,211,7,74.66,Big Spenders
KH1912,130,6,55.1,Big Spenders
KH1913,134,16,195.7,Loyal Customers
KH1914,209,7,36.55,Big Spenders
KH1915,145,4,13.0,Big Spenders
KH1916,44,7,34.65,Potential Loyalists
KH1917,154,11,137.0,Big Spenders
KH1918,92,4,70.4,Potential Loyalists
KH1919,134,4,39.6,Big Spenders
KH1920,317,6,30.0,Churned Customers
KH1921,49,14,193.0,Loyal Customers
KH1922,84,19,98.9,Potential Loyalists
KH1923,24,12,93.15,Potential Loyalists
KH1924,43,14,72.99,Potential Loyalists
KH1925,575,2,10.7,One-time Shoppers
KH1926,75,6,65.0,Potential Loyalists
KH1927,229,6,38.6,Big Spenders
KH1928,104,9,99.8,Potential Loyalists
KH1929,173,21,126.9,Big Spenders
KH1930,45,13,115.3,Potential Loyalists
KH1931,82,16,157.7,Loyal Customers
KH1932,114,20,179.8,Loyal Customers
KH1933,435,2,16.2,Churned Customers
KH1934,146,19,185.8,Loyal Customers
KH1935,489,11,49.6,One-time Shoppers
KH1936,137,6,42.2,Big Spenders
KH1937,74,13,67.8,Potential Loyalists
KH1938,236,10,72.0,Big Spenders
KH1939,61,14,137.52,Loyal Customers
KH1940,42,11,204.15,Loyal Customers
KH1941,105,5,36.6,Potential Loyalists
KH1942,441,4,39.0,Churned Customers
KH1943,91,20,140.86,Loyal Customers
KH1944,121,4,21.7,Potential Loyalists
KH1945,244,14,115.9,Big Spenders
KH1946,22,12,110.5,Potential Loyalists
KH1947,532,9,112.0,One-time Shoppers
KH1948,127,22,135.15,Loyal Customers
KH1949,161,15,219.8,Loyal Customers
KH1950,49,10,43.35,Potential Loyalists
KH1951,69,6,108.1,Potential Loyalists
KH1952,37,10,85.3,Potential Loyalists
KH1953,296,4,57.2,Churned Customers
KH1954,146,11,114.62,Big Spenders
KH1955,320,8,76.12,Churned Customers
KH1956,716,2,11.3,One-time Shoppers
KH1957,333,4,20.8,Churned Customers
KH1958,180,7,101.5,Big Spenders
KH1959,17,19,160.6,Loyal Customers
KH1960,355,4,25.2,Churned Customers
KH1961,15,12,54.9,Potential Loyalists
KH1962,205,10,70.8,Big Spenders
KH1963,0,2,11.1,Potential Loyalists
KH1964,394,10,53.17,Churned Customers
KH1965,148,4,44.2,Big Spenders
KH1966,433,16,91.24,Churned Customers
KH1967,64,15,93.95,Potential Loyalists
KH1968,88,11,101.0,Potential Loyalists
KH1969,160,14,76.76,Big Spenders
KH1970,567,9,100.7,One-time Shoppers
KH1971,103,8,120.55,Loyal Customers
KH1972,211,5,25.9,Big Spenders
KH1973,67,2,114.9,Potential Loyalists
KH1974,241,5,76.6,Big Spenders
KH1975,95,4,23.3,Potential Loyalists
KH1976,77,3,6.7,Potential Loyalists
KH1977,352,3,41.9,Churned Customers
KH1978,299,6,105.9,Churned Customers
KH1979,39,17,193.7,Loyal Customers
KH1980,76,10,49.83,Potential Loyalists
KH1981,60,4,54.7,Potential Loyalists
KH1982,16,7,89.2,Potential Loyalists
KH1983,143,16,199.6,Loyal Customers
KH1985,34,8,39.75,Potential Loyalists
KH1987,76,9,76.0,Potential Loyalists
KH1988,113,6,56.9,Potential Loyalists
KH1989,112,2,7.6,Potential Loyalists
KH1990,151,6,42.2,Big Spenders
KH1991,21,23,201.2,Loyal Customers
KH1992,124,8,103.8,Big Spenders
KH1993,175,9,81.9,Big Spenders
KH1994,86,14,86.7,Potential Loyalists
KH1995,201,17,61.82,Big Spenders
KH1996,234,10,51.75,Big Spenders
KH1997,2,21,150.12,Loyal Customers
KH1998,226,27,168.05,Big Spenders
KH1999,128,16,159.24,Loyal Customers
KH2000,129,7,82.4,Big Spenders
KH2001,112,20,267.32,Loyal Customers
KH2002,71,7,47.3,Potential Loyalists
KH2003,37,6,44.7,Potential Loyalists
KH2004,131,13,118.8,Big Spenders
KH2005,99,13,83.99,Potential Loyalists
KH2006,22,4,32.0,Potential Loyalists
KH2007,37,6,51.85,Potential Loyalists
KH2008,70,6,11.65,Potential Loyalists
KH2009,80,6,49.4,Potential Loyalists
KH2010,11,12,55.34,Potential Loyalists
KH2011,7,18,86.86,Potential Loyalists
KH2012,276,4,13.2,Churned Customers
KH2013,122,7,32.45,Potential Loyalists
KH2014,190,19,84.5,Big Spenders
KH2015,232,4,22.6,Big Spenders
KH2016,137,4,47.6,Big Spenders
KH2017,68,16,180.4,Loyal Customers
KH2018,127,13,139.6,Loyal Customers
KH2019,46,18,91.1,Potential Loyalists
KH2020,41,9,67.8,Potential Loyalists
KH2021,352,2,20.6,Churned Customers
KH2022,161,23,260.7,Loyal Customers
KH2023,121,7,64.1,Potential Loyalists
KH2024,527,4,10.25,One-time Shoppers
KH2025,412,8,73.4,Churned Customers
KH2026,411,4,75.2,Churned Customers
KH2027,447,5,41.2,Churned Customers
KH2028,10,13,134.29,Loyal Customers
KH2029,175,11,86.7,Big Spenders
KH2030,117,7,33.22,Potential Loyalists
KH2031,307,14,157.0,Churned Customers
KH2032,155,7,54.45,Big Spenders
KH2033,319,11,201.5,Churned Customers
KH2034,80,6,62.46,Potential Loyalists
KH2035,7,11,113.22,Potential Loyalists
KH2036,490,6,32.3,One-time Shoppers
KH2037,255,8,101.95,Big Spenders
KH2038,227,10,76.95,Big Spenders
KH2039,99,4,47.4,Potential Loyalists
KH2040,84,15,140.0,Loyal Customers
KH2041,97,15,165.5,Loyal Customers
KH2042,41,14,139.24,Loyal Customers
KH2043,253,16,113.56,Big Spenders
KH2044,14,9,66.01,Potential Loyalists
KH2045,23,15,148.4,Loyal Customers
KH2046,131,5,35.25,Big Spenders
KH2047,10,12,96.8,Potential Loyalists
KH2048,14,12,73.2,Potential Loyalists
KH2049,84,9,95.3,Potential Loyalists
KH2050,185,4,23.9,Big Spenders
KH2051,46,33,284.9,Loyal Customers
KH2053,100,8,32.2,Potential Loyalists
KH2054,15,12,95.12,Potential Loyalists
KH2055,52,17,101.85,Potential Loyalists
KH2056,36,18,145.23,Loyal Customers
KH2057,47,5,32.54,Potential Loyalists
KH2058,209,12,65.76,Big Spenders
KH2059,479,9,165.35,One-time Shoppers
KH2060,157,5,36.4,Big Spenders
KH2061,3,11,127.6,Potential Loyalists
KH2062,99,8,48.11,Potential Loyalists
KH2063,33,13,116.9,Potential Loyalists
KH2064,131,8,53.0,Big Spenders
KH2065,342,14,84.0,Churned Customers
KH2066,223,12,137.7,Big Spenders
KH2067,140,9,36.54,Big Spenders
KH2068,206,12,81.65,Big Spenders
KH2069,181,10,146.1,Big Spenders
KH2070,11,24,223.85,Loyal Customers
KH2071,77,10,82.66,Potential Loyalists
KH2072,32,13,96.2,Potential Loyalists
KH2073,195,9,83.65,Big Spenders
KH2074,10,11,55.2,Potential Loyalists
KH2075,344,6,18.0,Churned Customers
KH2076,26,8,58.0,Potential Loyalists
KH2077,229,15,170.9,Big Spenders
KH2078,75,6,59.04,Potential Loyalists
KH2079,164,14,168.41,Big Spenders
KH2080,253,5,53.6,Big Spenders
KH2081,342,10,103.0,Churned Customers
KH2082,37,10,45.9,Potential Loyalists
KH2083,53,12,108.0,Potential Loyalists
KH2084,137,4,27.1,Big Spenders
KH2085,252,8,66.7,Big Spenders
KH2086,211,20,182.4,Big Spenders
KH2087,265,10,70.0,Big Spenders
KH2088,324,5,32.7,Churned Customers
KH2089,60,16,161.3,Loyal Customers
KH2091,72,11,69.4,Potential Loyalists
KH2092,54,17,96.3,Potential Loyalists
KH2093,201,16,159.3,Big Spenders
KH2094,602,6,34.44,One-time Shoppers
KH2095,92,6,38.2,Potential Loyalists
KH2096,339,2,8.6,Churned Customers
KH2097,90,11,111.27,Potential Loyalists
KH2098,436,7,35.8,Churned Customers
KH2100,78,15,151.14,Loyal Customers
KH2101,10,11,39.6,Potential Loyalists
KH2102,234,12,108.5,Big Spenders
KH2103,294,2,20.55,Churned Customers
KH2104,71,9,110.4,Potential Loyalists
KH2105,343,5,72.06,Churned Customers
KH2106,36,12,56.4,Potential Loyalists
KH2107,33,19,113.0,Potential Loyalists
KH2108,90,7,60.9,Potential Loyalists
KH2109,63,10,51.9,Potential Loyalists
KH2110,154,8,81.5,Big Spenders
KH2111,308,8,63.51,Churned Customers
KH2112,572,4,19.0,One-time Shoppers
KH2113,114,8,44.6,Potential Loyalists
KH2114,54,6,33.3,Potential Loyalists
KH2115,42,7,61.4,Potential Loyalists
KH2116,123,4,12.1,Potential Loyalists
KH2117,53,13,146.28,Loyal Customers
KH2118,165,5,68.2,Big Spenders
KH2119,97,8,69.2,Potential Loyalists
KH2120,84,14,180.0,Loyal Customers
KH2121,422,4,20.6,Churned Customers
KH2122,267,10,82.15,Big Spenders
KH2123,572,3,38.6,One-time Shoppers
KH2125,188,6,60.9,Big Spenders
KH2126,612,2,49.0,One-time Shoppers
KH2127,41,12,95.22,Potential Loyalists
KH2128,142,11,111.23,Big Spenders
KH2129,141,16,115.9,Big Spenders
KH2131,125,12,90.0,Big Spenders
KH2132,376,11,76.2,Churned Customers
KH2133,147,16,169.96,Loyal Customers
KH2134,95,7,69.4,Potential Loyalists
KH2135,339,8,62.8,Churned Customers
KH2136,323,2,9.0,Churned Customers
KH2137,614,4,93.3,One-time Shoppers
KH2138,301,18,221.86,Churned Customers
KH2139,258,12,81.6,Big Spenders
KH2140,0,6,22.7,Potential Loyalists
KH2141,297,9,31.0,Churned Customers
KH2142,188,19,156.0,Big Spenders
KH2143,158,7,49.3,Big Spenders
KH2144,359,10,148.6,Churned Customers
KH2145,18,5,16.8,Potential Loyalists
KH2146,193,6,72.9,Big Spenders
KH2147,48,9,53.6,Potential Loyalists
KH2148,164,10,62.25,Big Spenders
KH2149,221,9,93.0,Big Spenders
KH2151,92,11,176.94,Loyal Customers
KH2152,118,12,81.3,Potential Loyalists
KH2153,381,4,17.09,Churned Customers
KH2154,290,11,97.7,Churned Customers
KH2155,414,8,40.4,Churned Customers
KH2156,145,9,44.2,Big Spenders
KH2157,62,11,120.56,Potential Loyalists
KH2158,151,11,56.8,Big Spenders
KH2159,166,8,80.06,Big Spenders
KH2160,85,12,126.96,Loyal Customers
KH2161,462,4,19.92,One-time Shoppers
KH2162,194,10,107.5,Big Spenders
KH2164,36,25,155.6,Loyal Customers
KH2165,115,12,65.3,Potential Loyalists
KH2166,20,15,117.75,Potential Loyalists
KH2167,22,9,122.4,Potential Loyalists
KH2168,35,7,40.95,Potential Loyalists
KH2169,59,11,83.4,Potential Loyalists
KH2170,195,10,94.45,Big Spenders
KH2171,118,18,187.5,Loyal Customers
KH2172,303,5,59.8,Churned Customers
KH2173,141,4,40.1,Big Spenders
KH2174,468,7,30.8,One-time Shoppers
KH2175,299,13,102.52,Churned Customers
KH2176,144,13,108.8,Big Spenders
KH2177,454,6,43.85,Churned Customers
KH2178,10,11,177.1,Loyal Customers
KH2179,258,4,41.15,Big Spenders
KH2180,377,5,21.1,Churned Customers
KH2181,190,7,73.6,Big Spenders
KH2183,366,7,45.6,Churned Customers
KH2184,23,24,241.86,Loyal Customers
KH2185,80,11,69.9,Potential Loyalists
KH2186,120,20,128.25,Loyal Customers
KH2187,136,6,37.75,Big Spenders
KH2188,32,10,74.75,Potential Loyalists
KH2190,80,6,39.1,Potential Loyalists
KH2191,50,10,101.67,Potential Loyalists
KH2192,323,5,27.3,Churned Customers
KH2193,91,27,361.45,Loyal Customers
KH2194,208,15,127.91,Big Spenders
KH2195,173,8,58.76,Big Spenders
KH2196,82,14,103.4,Potential Loyalists
KH2197,542,2,13.8,One-time Shoppers
KH2198,507,2,22.8,One-time Shoppers
KH2199,576,4,33.0,One-time Shoppers
KH2200,81,10,94.9,Potential Loyalists
KH2201,222,14,117.65,Big Spenders
KH2202,93,13,169.45,Loyal Customers
KH2203,186,2,64.2,Big Spenders
KH2204,94,12,108.6,Potential Loyalists
KH2205,298,8,54.3,Churned Customers
KH2206,74,7,40.5,Potential Loyalists
KH2207,266,8,74.2,Big Spenders
KH2208,153,8,95.8,Big Spenders
KH2209,88,14,156.4,Loyal Customers
KH2210,96,19,277.35,Loyal Customers
KH2211,31,13,74.3,Potential Loyalists
KH2212,63,12,88.4,Potential Loyalists
KH2213,492,2,5.3,One-time Shoppers
KH2214,345,4,30.6,Churned Customers
KH2215,34,14,128.8,Loyal Customers
KH2216,43,2,24.2,Potential Loyalists
KH2217,28,8,91.05,Potential Loyalists
KH2218,181,13,80.6,Big Spenders
KH2219,257,6,19.2,Big Spenders
KH2220,148,6,28.2,Big Spenders
KH2221,12,6,83.42,Potential Loyalists
KH2222,2,19,170.95,Loyal Customers
KH2225,246,10,82.5,Big Spenders
KH2226,296,13,108.1,Churned Customers
KH2227,193,5,27.7,Big Spenders
KH2228,214,4,45.66,Big Spenders
KH2229,8,22,210.51,Loyal Customers
KH2230,216,18,195.9,Big Spenders
KH2231,27,15,109.2,Potential Loyalists
KH2232,238,14,155.7,Big Spenders
KH2233,124,9,86.05,Big Spenders
KH2234,6,21,166.0,Loyal Customers
KH2235,66,13,113.35,Potential Loyalists
KH2236,330,14,119.72,Churned Customers
KH2237,324,9,89.6,Churned Customers
KH2238,24,13,105.3,Potential Loyalists
KH2239,17,12,69.41,Potential Loyalists
KH2240,29,12,81.54,Potential Loyalists
KH2241,73,9,78.9,Potential Loyalists
KH2242,208,12,87.82,Big Spenders
KH2243,106,10,74.9,Potential Loyalists
KH2244,276,15,141.8,Big Spenders
KH2245,229,8,98.56,Big Spenders
KH2246,123,5,108.3,Big Spenders
KH2247,213,11,68.15,Big Spenders
KH2248,288,2,4.4,Churned Customers
KH2249,215,4,55.1,Big Spenders
KH2250,76,8,73.4,Potential Loyalists
KH2251,190,16,205.0,Big Spenders
KH2252,83,21,134.57,Loyal Customers
KH2253,162,6,34.3,Big Spenders
KH2254,340,12,135.7,Churned Customers
KH2255,12,12,105.85,Potential Loyalists
KH2256,131,9,85.35,Big Spenders
KH2257,229,8,64.9,Big Spenders
KH2258,437,7,33.3,Churned Customers
KH2259,562,7,29.75,One-time Shoppers
KH2260,61,8,62.75,Potential Loyalists
KH2261,184,13,65.5,Big Spenders
KH2262,56,10,108.95,Potential Loyalists
KH2263,181,2,39.9,Big Spenders
KH2264,352,8,59.2,Churned Customers
KH2265,96,14,93.85,Potential Loyalists
KH2266,91,9,86.3,Potential Loyalists
KH2267,49,15,161.4,Loyal Customers
KH2269,101,6,81.9,Potential Loyalists
KH2270,91,22,222.4,Loyal Customers
KH2271,40,31,241.8,Loyal Customers
KH2272,116,13,142.0,Loyal Customers
KH2273,33,14,89.0,Potential Loyalists
KH2274,359,11,79.34,Churned Customers
KH2275,150,4,33.32,Big Spenders
KH2276,353,7,58.7,Churned Customers
KH2277,346,7,89.46,Churned Customers
KH2278,142,6,42.84,Big Spenders
KH2279,400,8,90.6,Churned Customers
KH2280,353,4,35.5,Churned Customers
KH2281,64,2,53.7,Potential Loyalists
KH2282,233,3,57.6,Big Spenders
KH2283,346,7,38.42,Churned Customers
KH2284,287,13,131.4,Churned Customers
KH2285,14,4,26.2,Potential Loyalists
KH2286,26,6,99.9,Potential Loyalists
KH2287,14,8,84.2,Potential Loyalists
KH2288,213,12,83.12,Big Spenders
KH2289,56,16,137.84,Loyal Customers
KH2290,111,11,94.2,Potential Loyalists
KH2291,101,12,97.85,Potential Loyalists
KH2292,280,2,12.4,Churned Customers
KH2293,11,19,140.56,Loyal Customers
KH2294,98,23,205.6,Loyal Customers
KH2295,2,10,47.9,Potential Loyalists
KH2296,566,2,5.35,One-time Shoppers
KH2297,304,2,5.92,Churned Customers
KH2298,85,20,166.8,Loyal Customers
KH2299,50,8,73.47,Potential Loyalists
KH2300,102,10,107.3,Potential Loyalists
KH2301,6,9,39.35,Potential Loyalists
KH2302,700,2,6.0,One-time Shoppers
KH2303,518,6,122.6,One-time Shoppers
KH2304,182,2,6.4,Big Spenders
KH2305,93,7,102.34,Potential Loyalists
KH2306,82,13,93.54,Potential Loyalists
KH2307,184,11,121.62,Big Spenders
KH2308,476,6,28.6,One-time Shoppers
KH2309,1,12,64.07,Potential Loyalists
KH2310,281,16,137.68,Churned Customers
KH2311,59,18,127.7,Loyal Customers
KH2312,229,9,74.5,Big Spenders
KH2313,315,5,38.54,Churned Customers
KH2314,35,10,67.3,Potential Loyalists
KH2315,10,14,128.42,Loyal Customers
KH2316,205,6,83.16,Big Spenders
KH2318,348,6,33.7,Churned Customers
KH2319,234,7,84.5,Big Spenders
KH2320,387,10,110.9,Churned Customers
KH2321,197,13,121.2,Big Spenders
KH2322,683,4,24.8,One-time Shoppers
KH2323,368,6,52.3,Churned Customers
KH2324,134,6,41.6,Big Spenders
KH2325,258,15,110.58,Big Spenders
KH2326,31,9,57.3,Potential Loyalists
KH2327,22,10,78.0,Potential Loyalists
KH2328,311,7,69.7,Churned Customers
KH2329,168,4,30.3,Big Spenders
KH2330,420,4,17.4,Churned Customers
KH2331,32,13,82.22,Potential Loyalists
KH2332,15,13,97.8,Potential Loyalists
KH2334,668,5,27.0,One-time Shoppers
KH2335,160,5,30.2,Big Spenders
KH2336,84,11,120.84,Potential Loyalists
KH2337,137,13,105.8,Big Spenders
KH2338,22,11,121.2,Potential Loyalists
KH2339,589,10,110.0,One-time Shoppers
KH2340,32,18,134.4,Loyal Customers
KH2341,373,10,115.02,Churned Customers
KH2342,376,4,26.3,Churned Customers
KH2343,214,9,37.1,Big Spenders
KH2344,13,25,230.0,Loyal Customers
KH2345,13,10,51.5,Potential Loyalists
KH2346,104,15,191.9,Loyal Customers
KH2347,337,4,33.3,Churned Customers
KH2348,19,18,158.91,Loyal Customers
KH2349,166,16,116.32,Big Spenders
KH2350,579,4,10.5,One-time Shoppers
KH2351,358,6,62.64,Churned Customers
KH2352,239,6,53.09,Big Spenders
KH2353,242,9,50.7,Big Spenders
KH2354,497,6,15.3,One-time Shoppers
KH2355,159,12,89.7,Big Spenders
KH2356,121,14,129.0,Loyal Customers
KH2357,98,20,165.85,Loyal Customers
KH2358,15,9,111.16,Potential Loyalists
KH2359,124,13,101.62,Big Spenders
KH2360,315,6,73.3,Churned Customers
KH2361,88,10,59.9,Potential Loyalists
KH2362,37,14,105.75,Potential Loyalists
KH2363,66,11,156.6,Loyal Customers
KH2364,113,15,106.3,Potential Loyalists
KH2365,192,17,158.6,Big Spenders
KH2366,134,13,71.5,Big Spenders
KH2368,49,8,53.8,Potential Loyalists
KH2369,74,8,143.5,Loyal Customers
KH2370,109,19,178.26,Loyal Customers
KH2371,122,6,56.6,Potential Loyalists
KH2372,118,6,19.6,Potential Loyalists
KH2373,495,2,10.1,One-time Shoppers
